db_id,lemma,lang,num,main_entry
entry_cʼūtxal,cʼūtxal,os,,
entry_kʼuru,kʼuru,os-x-digor,,
entry_gotʼosi,gotʼosi,os-x-iron,,
entry_ændon,ændon,os,,
entry_g0ybyn,g˳ybyn,os,,
re_d7e92,g˳ybynnīz,os,,entry_g0ybyn
entry_razy_2,razy,os,2,
re_d8e92,razy kænyn,os,,entry_razy_2
re_d8e116,ysrazy wyn,os,,entry_razy_2
entry_kʼæmbyr,kʼæmbyr,os,,
entry_æx,æx,os,,
re_d12e89,æxǵyn kʼax,os,,entry_æx
entry_ʒykki,ʒykki,os-x-iron,,
entry_firton,firton,os-x-digor,,
entry_inælar,inælar,os,,
entry_byron,byron,os,,
entry_enceg,enceg,os-x-digor,,
entry_k0yrd,k˳yrd,os,,
re_d20e84,zærīnǧ˳yrd,os,,entry_k0yrd
re_d20e103,ærx˳yg˳yrd,os,,entry_k0yrd
re_d20e122,fsæng˳yrd,os,,entry_k0yrd
entry_ærx,ærx,os,,
entry_næwæʒ,næwæʒ,os,,
entry_qaqqænyn,qaqqænyn,os,,
entry_læʒæg,læʒæg,os,,
entry_æmbawun,æmbawun,os,,
entry_qūg,qūg,os,,
re_d31e97,qūgʒarm,os,,entry_qūg
entry_ivar,ivar,os,,
re_d32e89,ivargond,os,,entry_ivar
entry_adli,adli,os,,
entry_nyridægæn,nyridægæn,os-x-iron,,
entry_7rdyston,ᵆrdyston,os-x-iron,,
entry_razamynd,razamynd,os,,
entry_kūsart,kūsart,os,,
re_d38e84,kūsart kænun,os,,entry_kūsart
re_d38e103,kūsærttag,os,,entry_kūsart
entry_izæd,izæd,os-x-digor,,
entry_kærdbaʒæ,kærdbaʒæ,os-x-digor,,
entry_caxæn,caxæn,os,,
entry_mīzyn,mīzyn,os,,
entry_kʼ0ybyr,kʼ˳ybyr,os,,
entry_qom_2,qom,os,2,
re_d44e88,cæwynqom,os,,entry_qom_2
re_d44e106,kūsynqom,os,,entry_qom_2
entry_dæsæm,dæsæm,os,,
entry_qalaǧūr,qalaǧūr,os,,
entry_alǧac,alǧac,os,,
entry_mūsong,mūsong,os-x-iron,,
entry_næryn,næryn,os,,
re_d51e388,xædnærgæ,os,,entry_næryn
entry_barz,barz,os,,
re_d52e107,mulʒuguti barz,os,,entry_barz
re_d52e123,ænæqæn bærztæ,os,,entry_barz
entry_ʒybyr,ʒybyr,os,,
entry_kʼæʒīl,kʼæʒīl,os,,
entry_q0yran,q˳yran,os,,
entry_porti,porti,os-x-iron,,
re_d60e200,portijæ qazyn,os-x-iron,,entry_porti
entry_bynʒar,bynʒar,os,,
re_d61e92,bynʒaræj,os,,entry_bynʒar
entry_kʼæbælʒyg,kʼæbælʒyg,os,,
entry_fæsʒæwīn,fæsʒæwīn,os,,
entry_fūtæg,fūtæg,os,,
entry_bynʒ,bynʒ,os,,
re_d69e82,mydybynʒ,os,,entry_bynʒ
entry_ræjyn,ræjyn,os,,
re_d70e86,ræjæ,os,,entry_ræjyn
entry_osongæ,osongæ,os-x-digor,,
entry_lædær,lædær,os-x-digor,,
re_d72e94,lædærtæ,os-x-digor,,entry_lædær
entry_fænd,fænd,os,,
re_d74e110,fænd kænyn,os,,entry_fænd
re_d74e136,æmvændæj,os,,entry_fænd
re_d74e153,xīvænd,os,,entry_fænd
entry_cʼoj,cʼoj,os-x-south,,
entry_adæg,adæg,os-x-iron,,
re_d77e90,adæg lasyn,os-x-iron,,entry_adæg
entry_fændiag,fændiag,os,,
entry_fonʒyssæʒy,fonʒyssæʒy,os-x-iron,,
entry_net,net,os,,
entry_qædtyx,qædtyx,os,,
entry_g0yrko,g˳yrko,os,,
entry_ælǧītyn,ælǧītyn,os,,
entry_æʒællag,æʒællag,os,,
entry_ændīʒyn,ændīʒyn,os,,
entry_ænsojnæ,ænsojnæ,os-x-digor,,
entry_rwajyn,rwajyn,os-x-iron,,
entry_ævdasarm,ævdasarm,os,,
entry_burkuʒaw,burkuʒaw,os,,
entry_īnnæ,īnnæ,os,,
re_d98e93,īnnæbon,os,,entry_īnnæ
re_d98e109,īnnærdæm,os,,entry_īnnæ
re_d98e125,īnnærdygæj,os,,entry_īnnæ
entry_berinʒun,berinʒun,os-x-digor,,
entry_goʒy-kʼax,goʒy-kʼax,os,,
re_d101e79,goʒy kʼæxtyl cæwyn,os,,entry_goʒy-kʼax
entry_lopʼo,lopʼo,os,,
re_d102e118,lopʼo kænyn,os,,entry_lopʼo
entry_gærtam,gærtam,os,,
re_d103e92,gærtamxor,os,,entry_gærtam
entry_ræstmæ,ræstmæ,os,,
re_d105e125,ræstmæ kænyn,os,,entry_ræstmæ
entry_baryn,baryn,os,,
entry_qyʒy,qyʒy,os,,
re_d107e84,qyʒy kænyn,os,,entry_qyʒy
entry_razængard,razængard,os,,
re_d108e91,razængardæj,os,,entry_razængard
entry_æxsīdyn,æxsīdyn,os,,
entry_asiag,asiag,os,,
entry_ærfyg,ærfyg,os,,
entry_igwærdæn,igwærdæn,os-x-digor,,
entry_faldær,faldær,os,,
entry_ajkʒæg,ajkʒæg,os,,
entry_līvor,līvor,os,,
entry_ræz_2,ræz,os,2,
entry_ægongæj,ægongæj,os-x-iron,,
entry_dīn,dīn,os,,
entry_bylamyq,bylamyq,os,,
entry_ruxæn,ruxæn,os-x-digor,,
re_d125e74,ruxæni mæjæ,os-x-digor,,entry_ruxæn
entry_fyrt,fyrt,os,,
entry_cʼæt,cʼæt,os-x-iron,,
entry_dæxī,dæxī,os,,
entry_æxsyræg,æxsyræg,os,,
entry_ældyǧ,ældyǧ,os,,
entry_mīnævar,mīnævar,os,,
re_d134e116,mīnævar kænyn,os,,entry_mīnævar
entry_fonʒ,fonʒ,os,,
entry_dællagq0yr,dællagq˳yr,os,,
entry_būlkʼon,būlkʼon,os,,
entry_ænxussīnæ,ænxussīnæ,os,,
entry_peron,peron,os-x-digor,,
entry_kʼori,kʼori,os,,
re_d143e79,zæxxy kʼori,os,,entry_kʼori
entry_rændun,rændun,os-x-digor,,
re_d144e103,rændæn,os-x-digor,,entry_rændun
entry_atʼami,atʼami,os,,
entry_pæskʼu,pæskʼu,os-x-digor,,
entry_mængættæ,mængættæ,os-x-digor,,
entry_læwærdun,læwærdun,os-x-digor,,
entry_buʒux,buʒux,os-x-digor,,
entry_axær,axær,os-x-digor,,
re_d152e92,axæri bon,os-x-digor,,entry_axær
entry_awazyn,awazyn,os,,
re_d153e86,awæzt,os,,entry_awazyn
entry_astæwæjdælæmæ,astæwæjdælæmæ,os,,
entry_idard,idard,os-x-digor,,
entry_ærmkʼūx,ærmkʼūx,os,,
entry_ævzīdun,ævzīdun,os,,
entry_fece,fece,os-x-digor,,
entry_madta,madta,os-x-digor,,
entry_matara,matara,os,,
entry_fīdīs,fīdīs,os,,
re_d162e84,fīdīs kænyn,os,,entry_fīdīs
re_d162e110,ævaw-ævīdīs,os,,entry_fīdīs
entry_murzæg,murzæg,os-x-iron,,
entry_pex0ympar,pex˳ympar,os,,
entry_pyrdon,pyrdon,os,,
entry_fat,fat,os,,
re_d167e95,fatdon,os,,entry_fat
entry_bardan,bardan,os,,
entry_ævǵīl,ævǵīl,os,,
entry_evged,evged,os-x-digor,,
