db_id,entry_id,example_group,lang,num,text,tr_ru,tr_en
example_d4e84,entry_gotʼosi,exampleGrp_d4e82,,,mælʒygyl axæm gotʼosi sævær æmæ jæ jæ astæw k˳yd baūroma,"на муравья поставь такой %sgоtʼosi%s, чтобы у него выдержала спина (т. е. надо соразмерять применяемые средства с силами объекта)",put such a %sgotʼosi%s on the ant so that its back can endure it (i. e. it is necessary to balance the used forces with the forces of the object)
example_d5e81,entry_ændon,exampleGrp_d5e79,,,bolat ændonæj dyn skænʒæn jæ cæfxædtæ,из булатной стали он (Курдалагон) изготовит тебе для него (коня) подковы,he (Kurdalægon) will make you horseshoes from damask steel for it%b(?)%b (the horse)
example_d5e100,entry_ændon,exampleGrp_d5e79,,,mæn bajsærd æmæ ændon k˳yd yswon,"закали меня, чтобы я стал стальным","harden me, so I become steel"
example_d5e119,entry_ændon,exampleGrp_d5e79,,,"Batraʒ c’æx ændon yssi, ærmæst ma jæ īw t’ang ænæ særdæj bazzad","Батрадз стал из синей стали, только одна кишка у него осталась не закаленной","Batraz became made from blue steel, only one gut was left unhardened"
example_d7e114,entry_g0ybyn,exampleGrp_d7e112,,,(k˳yʒ) awaǧta … būrfyx kærʒyn jæ g˳ybynmæ,(пес) отправил в свой живот спеченный с желтой (корочкой) хлеб,the dog sent baked bread with the yellow crust to his stomach
example_d7e133,entry_g0ybyn,exampleGrp_d7e112,,,"ærdæbon īw ʒynga anyqq˳yrdton, æmæ wædæj nyrmæ mæ g˳ybyn rīssy","недавно я проглотил одного комара, и с тех пор у меня болит живот","I swallowed one mosquito recently, and since then I have a stomachache"
example_d7e152,entry_g0ybyn,exampleGrp_d7e112,os-x-digor,,"ustur gubun, kʼælos siwtæ, fædæggin ǧog …","корова с большим животом, изогнутыми рогами, вымистая…","a cow with a big belly, with curved horns, puffy …"
example_d7e174,entry_g0ybyn,exampleGrp_d7e112,os-x-digor,,raǧæn ræwæg gubunæn ʒæbæx,"легкая для спины, приятная для живота (дорожная провизия)","light for the back, pleasant for the abdomen (travel provisions)"
example_d8e164,entry_razy_2,exampleGrp_d8e138,,,"zæǧ, kæd razy dæ, wæd,— Xetæg dæ kūry","скажи, если ты согласна, — Хетаг к тебе сватается",tell me if you agree — Khetag is asking you in marriage
example_d8e189,entry_razy_2,exampleGrp_d8e138,,,"fos bajwarynmæ bællydtæn, ne ʽsrazy dæ dy","я хотел поделить скот, (но) ты не согласился","I wanted to divide the cattle, but you did not agree"
example_d8e214,entry_razy_2,exampleGrp_d8e138,,,ældary ʒyrdyl ysrazy sty,они согласились со словом князя,they agreed with the prince’s word
example_d8e266,entry_razy_2,exampleGrp_d8e138,,,"ægad mæ ma fækæ, æz razy dæn de ʽvsymærmæ cæwynyl","не позорь меня, я согласна пойти (замуж) за твоего брата","do not embarrass me, I agree to marry your brother"
example_d8e291,entry_razy_2,exampleGrp_d8e138,os-x-digor,,"næ, arazi næ dæn","нет, я не согласен","no, I do not agree"
example_d8e346,entry_razy_2,exampleGrp_d8e138,os-x-digor,,cærunbæl arazi dæn,я согласен жить,I agree to live
example_d8e374,entry_razy_2,exampleGrp_d8e138,os-x-digor,,"cæj, fæwæd ædta wæ zaǧd, isarazi dæn æz dær","ну, пусть будет по-вашему, и я согласен","well, let it be your way, I also agree"
example_d8e402,entry_razy_2,exampleGrp_d8e138,os-x-digor,,"mæ lægbæl saw ku næ daron, wæd wælæbæl mi arazi kæd adtæj, wæddær mi mærdti arazi næ woʒænæj","если я не буду носить траур по моему мужу, то хотя при жизни (в верхнем мире) он был мною доволен, все же в царстве мертвых он не будет мною доволен","if I do not wear mourning for my husband, then although he was pleased with me during his lifetime (in the upper world), he will not be pleased with me in the realm of the dead"
example_d8e440,entry_razy_2,exampleGrp_d8e138,os-x-digor,,"beræ fæqalǧa kodtoncæ, wædta isarazi æncæ…","долго спорили, потом согласились","they argued for a long time, then agreed"
example_d8e471,entry_razy_2,exampleGrp_d8e138,os-x-digor,,Xucaw di isarazi wæd,Бог да будет доволен тобою,may God be pleased with you
example_d8e499,entry_razy_2,exampleGrp_d8e138,os-x-digor,,Xucaw wi ma ʽsarazi wæd,да будет на вас немилость Бога,may God’s displeasure be upon you
example_d8e527,entry_razy_2,exampleGrp_d8e138,os-x-digor,,"Xucaw, dæwæj razi","благодарение тебе, боже","thank you, God"
example_d15e84,entry_firton,exampleGrp_d15e82,,,"cudæj guburæj wæ sær, firtonaw wæ dargæj ældar","голова ваша была опущена, алдар держал вас, как скот","your head was down, the aldar treated you like cattle"
example_d16e81,entry_inælar,exampleGrp_d16e79,,,"mæ wazæg ū, wyrysy iriælary raz kī læwwy, axæm","мой гость — из числа тех, кто находится при русском генерале",my guest is from among those who are with the Russian general
example_d17e94,entry_byron,exampleGrp_d17e92,,,byrættæ ramærzūt,подметите мусор,[you] sweep trash out
example_d17e109,entry_byron,exampleGrp_d17e92,,,wæjug æ bælasæ zænxæbæl niccavta ma bælasæ fæbburojnæ ʽj,"великан ударил дерево об землю, и дерево обратилось в труху",the giant hit the tree to the ground and the tree mouldered away
example_d20e144,entry_k0yrd,exampleGrp_d20e142,,,k˳yrd k˳yrdyl ax˳yr kæny,кузнец учится у кузнеца,a blacksmith learns from a blacksmith
example_d21e112,entry_ærx,exampleGrp_d21e110,,,"qæwy æddæ, ḱysyl ærxy æmbæxst wydysty ærtæ baræǵy sæ bæxtīmæ… k˳y sæ īw, k˳y sæ īnnæ īw ærxæj rakastī æmæ īw bajq˳ysta","за аулом в небольшой лощине укрылись три всадника с лошадьми… то один, то другой из них выглядывал из лощины и прислушивался",there were tree horsemen with horses hiding in a small gorge behind the aul… one and another of them looked out the gorge and listened
example_d23e103,entry_næwæʒ,exampleGrp_d23e101,,,swadony særmæ bylyl læwwyd næwaʒazʒyd zærond læg,выше родника на краю стоял девяностолетний старик,above the spring on the edge stood a ninety-year-old man
example_d23e152,entry_næwæʒ,exampleGrp_d23e101,,,"Simonyl cæwy æstaj dywwæ azy, Tedojyl ta næwæʒ fonʒ","Симону восемьдесят два года, а Тедо девяносто пять",Simon is eighty-two and Tedo is ninety-five
example_d23e177,entry_næwæʒ,exampleGrp_d23e101,os-x-digor,,sædæ æmæ næwæʒæ fusi,сто девяносто овец,one hundred ninety sheep
