db_id,xml_id,entry_id,lang,form,gloss_ru,gloss_en
mentioned_d1e84,"mentioned_d1e84,mentioned_d1e120",entry_cʼūtxal,ka,cʼutxi,струп,scab
mentioned_d1e98,"mentioned_d1e98,mentioned_d1e134",entry_cʼūtxal,ka,xali,,
mentioned_d1e103,"mentioned_d1e103,mentioned_d1e139",entry_cʼūtxal,fa,xāl,пятно на коже,spot on the skin
mentioned_d4e106,"mentioned_d4e106,mentioned_d4e124",entry_gotʼosi,ka,kʼotʼoši,,
mentioned_d4e111,"mentioned_d4e111,mentioned_d4e129",entry_gotʼosi,xcl,k’ot’oš,,
mentioned_d5e141,"mentioned_d5e141,mentioned_d5e330",entry_ændon,udm,andan,,
mentioned_d5e146,"mentioned_d5e146,mentioned_d5e335",entry_ændon,kv,jendon,сталь,steel
mentioned_d5e154,"mentioned_d5e154,mentioned_d5e343",entry_ændon,mns,jēmtån,,
mentioned_d5e159,"mentioned_d5e159,mentioned_d5e348",entry_ændon,ce,ondun,крепкий,firm
mentioned_d5e167,"mentioned_d5e167,mentioned_d5e356",entry_ændon,inh,ondæ,сталь,steel
mentioned_d5e176,mentioned_d5e176,entry_ændon,uby,ᵃndān,долото,
mentioned_d5e185,"mentioned_d5e185,mentioned_d5e377",entry_ændon,dar,šandan,сталь,steel
mentioned_d5e202,"mentioned_d5e202,mentioned_d5e397",entry_ændon,hit,"and-, hand-",накалять,incandesce
mentioned_d5e211,"mentioned_d5e211,mentioned_d5e405",entry_ændon,ira,*han-dāna-,,
mentioned_d5e216,"mentioned_d5e216,mentioned_d5e410",entry_ændon,iir,*sam-dhāna-,,
mentioned_d5e221,"mentioned_d5e221,mentioned_d5e415",entry_ændon,iir,dhā-,,
mentioned_d5e226,"mentioned_d5e226,mentioned_d5e420",entry_ændon,ine,dhē-,класть,to put down
mentioned_d5e234,"mentioned_d5e234,mentioned_d5e428",entry_ændon,ru,уклад,сталь,steel
mentioned_d5e242,mentioned_d5e242,entry_ændon,"sl,sr,hr",nado,сталь,
mentioned_d5e251,mentioned_d5e251,entry_ændon,"sl,sr,hr",naditi,,
mentioned_d5e256,"mentioned_d5e256,mentioned_d5e450",entry_ændon,uk,надыты,покрывать сталью,to cover with steel
mentioned_d5e264,"mentioned_d5e264,mentioned_d5e458",entry_ændon,ru,надить (соху),точить лемех,to sharpen a ploughshare
mentioned_d5e278,mentioned_d5e278,entry_ændon,ine,*dhē-,,
mentioned_d5e283,"mentioned_d5e283,mentioned_d5e478",entry_ændon,os,ændon,,
mentioned_d5e289,"mentioned_d5e289,mentioned_d5e483",entry_ændon,sa,saṃdhāna-,,
mentioned_d5e294,"mentioned_d5e294,mentioned_d5e488",entry_ændon,os,ændon,,
mentioned_d5e303,"mentioned_d5e303,mentioned_d5e495",entry_ændon,sa,saṃdhāna-,,
mentioned_d5e365,mentioned_d5e365,,uby,andān,,chisel
mentioned_d5e437,mentioned_d5e437,,"sr,sl,hr",nado,,steel
mentioned_d5e445,mentioned_d5e445,,"sr,sl,hr",naditi,,
mentioned_d5e472,mentioned_d5e472,,ine,dhē-,,
mentioned_d8e580,"mentioned_d8e580,mentioned_d8e774",entry_razy_2,ar,"rāḍī,rāzī",,
mentioned_d8e588,"mentioned_d8e588,mentioned_d8e782",entry_razy_2,fa,rāzī,,
mentioned_d8e603,"mentioned_d8e603,mentioned_d8e797",entry_razy_2,"krc-x-balkar,krc-x-karachay",razə,,
mentioned_d8e608,"mentioned_d8e608,mentioned_d8e802",entry_razy_2,nog,razə,,
mentioned_d8e613,"mentioned_d8e613,mentioned_d8e807",entry_razy_2,kum,razə,,
mentioned_d8e628,"mentioned_d8e628,mentioned_d8e822",entry_razy_2,av,razi jav,,
mentioned_d8e637,"mentioned_d8e637,mentioned_d8e831",entry_razy_2,dar,razisi,,
mentioned_d8e642,"mentioned_d8e642,mentioned_d8e836",entry_razy_2,aqc,razi,,
mentioned_d8e647,"mentioned_d8e647,mentioned_d8e841",entry_razy_2,agx,razi,,
mentioned_d8e655,"mentioned_d8e655,mentioned_d8e849",entry_razy_2,agx,razi χas,согласиться,agree
mentioned_d8e662,"mentioned_d8e662,mentioned_d8e856",entry_razy_2,tkr,razi,,
mentioned_d8e667,"mentioned_d8e667,mentioned_d8e861",entry_razy_2,lez,"razi,razi tir",,
mentioned_d8e674,"mentioned_d8e674,mentioned_d8e868",entry_razy_2,ce,reza,,
mentioned_d8e679,"mentioned_d8e679,mentioned_d8e873",entry_razy_2,inh,räza,,
mentioned_d8e684,"mentioned_d8e684,mentioned_d8e878",entry_razy_2,kbd,aräzə,,
mentioned_d8e697,"mentioned_d8e697,mentioned_d8e891",entry_razy_2,ab,àraz,мирный,peaceful
mentioned_d8e705,"mentioned_d8e705,mentioned_d8e899",entry_razy_2,lzz,razi,согласие,agreement
mentioned_d8e727,"mentioned_d8e727,mentioned_d8e930",entry_razy_2,ka-x-ingiloy,razi j,согласный,agreeable
mentioned_d12e107,"mentioned_d12e107,mentioned_d12e129",entry_æx,ae,haxa-,стопа,foot
mentioned_d15e106,"mentioned_d15e106,mentioned_d15e149",entry_firton,sa,pṛthuka-,дитя,child
mentioned_d15e120,"mentioned_d15e120,mentioned_d15e163",entry_firton,grc,πόρτις,теленок,calf
mentioned_d16e103,"mentioned_d16e103,mentioned_d16e111",entry_inælar,ru,генерал,,general
mentioned_d17e127,"mentioned_d17e127,mentioned_d17e143",entry_byron,sva,buran,помет,excrement
mentioned_d20e181,"mentioned_d20e181,mentioned_d20e303",entry_k0yrd,sa,kūdayati,палит,is burning
mentioned_d20e197,"mentioned_d20e197,mentioned_d20e311",entry_k0yrd,xcl,kʼrakʼ,огонь,fire
mentioned_d20e211,"mentioned_d20e211,mentioned_d20e325",entry_k0yrd,fa,küra,кузнечный горн,forge
mentioned_d20e220,"mentioned_d20e220,mentioned_d20e333",entry_k0yrd,cu,курити,,
mentioned_d20e226,"mentioned_d20e226,mentioned_d20e339",entry_k0yrd,ru,курить,,
mentioned_d20e231,"mentioned_d20e231,mentioned_d20e344",entry_k0yrd,sl,kuriti,разжигать огонь,light the fire
mentioned_d20e239,"mentioned_d20e239,mentioned_d20e352",entry_k0yrd,lt,kurti,топить,stoke
mentioned_d20e253,"mentioned_d20e253,mentioned_d20e366",entry_k0yrd,got,hauri,уголь,coal
mentioned_d20e267,"mentioned_d20e267,mentioned_d20e380",entry_k0yrd,cu,кръчии,,
mentioned_d20e273,"mentioned_d20e273,mentioned_d20e385",entry_k0yrd,orv,корчий,кузнец,blacksmith
mentioned_d20e281,"mentioned_d20e281,mentioned_d20e393",entry_k0yrd,sa,kar-,делать,do
mentioned_d21e134,"mentioned_d21e134,mentioned_d21e254",entry_ærx,trk,arx,,
mentioned_d21e139,"mentioned_d21e139,mentioned_d21e259",entry_ærx,trk,arq,,
mentioned_d21e142,"mentioned_d21e142,mentioned_d21e262",entry_ærx,trk,arəq,канал,channel
mentioned_d21e148,"mentioned_d21e148,mentioned_d21e268",entry_ærx,mn,ark,ров,ditch
mentioned_d21e156,"mentioned_d21e156,mentioned_d21e276",entry_ærx,hu,árok,,
mentioned_d21e162,"mentioned_d21e162,mentioned_d21e282",entry_ærx,ka,arqi,,
mentioned_d21e167,"mentioned_d21e167,mentioned_d21e287",entry_ærx,xcl,arq,,
mentioned_d21e172,"mentioned_d21e172,mentioned_d21e292",entry_ærx,udi,arx,ров,ditch
mentioned_d21e180,"mentioned_d21e180,mentioned_d21e300",entry_ærx,dar,harq,,
mentioned_d21e185,"mentioned_d21e185,mentioned_d21e305",entry_ærx,lez,arx,,
mentioned_d21e190,"mentioned_d21e190,mentioned_d21e310",entry_ærx,inh,or,канава,drain
mentioned_d21e199,"mentioned_d21e199,mentioned_d21e319",entry_ærx,fa,arq,канал,channel
mentioned_d21e210,"mentioned_d21e210,mentioned_d21e330",entry_ærx,ps,warxa,'small channel in а field,'small channel in а field
mentioned_d21e222,"mentioned_d21e222,mentioned_d21e342",entry_ærx,ru-x-dial,верх,ложбина,shallow gully
mentioned_d21e230,"mentioned_d21e230,mentioned_d21e350",entry_ærx,"krc-x-balkar,krc-x-karachay",ərxə,русло дождевого потока,channel of a rain flow
mentioned_d21e239,"mentioned_d21e239,mentioned_d21e359",entry_ærx,os-x-digor,ærxæ,,
mentioned_d23e203,"mentioned_d23e203,mentioned_d23e311",entry_næwæʒ,ira,*navati,,
mentioned_d23e209,"mentioned_d23e209,mentioned_d23e317",entry_næwæʒ,ira,nava,девять,nine
mentioned_d23e218,"mentioned_d23e218,mentioned_d23e326",entry_næwæʒ,fa,navad,,
mentioned_d23e223,"mentioned_d23e223,mentioned_d23e331",entry_næwæʒ,pal,navat,,
mentioned_d23e228,"mentioned_d23e228,mentioned_d23e336",entry_næwæʒ,ku,nōt,,
mentioned_d23e234,"mentioned_d23e234,mentioned_d23e342",entry_næwæʒ,ps,nave,,
mentioned_d23e239,"mentioned_d23e239,mentioned_d23e347",entry_næwæʒ,zkh,nawic,,
mentioned_d23e244,"mentioned_d23e244,mentioned_d23e352",entry_næwæʒ,sog,"*nawat,nwʼt",,
mentioned_d23e253,"mentioned_d23e253,mentioned_d23e361",entry_næwæʒ,kho,nautä,,
mentioned_d23e258,"mentioned_d23e258,mentioned_d23e366",entry_næwæʒ,ae,navaiti-,,
mentioned_d23e263,"mentioned_d23e263,mentioned_d23e371",entry_næwæʒ,inc-x-old,navati-,,
mentioned_d23e269,"mentioned_d23e269,mentioned_d23e377",entry_næwæʒ,krc-x-balkar,nawǯi,девяносто,ninety
mentioned_d29e438,"mentioned_d29e438,mentioned_d29e503",entry_læʒæg,xcl,lcʼakʼ,рычаг,lever
mentioned_d29e454,"mentioned_d29e454,mentioned_d29e519",entry_læʒæg,xcl,manušakʼ,фиалка,violet
mentioned_d29e464,"mentioned_d29e464,mentioned_d29e529",entry_læʒæg,ira,*laštyaka-,,
mentioned_d29e469,"mentioned_d29e469,mentioned_d29e534",entry_læʒæg,lt,"lazda,laza",палка,stick
mentioned_d29e479,"mentioned_d29e479,mentioned_d29e544",entry_læʒæg,lt,laksta,"насест,жердочка, на которой сидят куры в курятнике или птички в клетке","perch,pole on which hen sit in a henhouse or birds in a cage"
mentioned_d29e487,"mentioned_d29e487,mentioned_d29e552",entry_læʒæg,grc,λάκτις,пест в ступе,pestle in a mortar
mentioned_d31e241,"mentioned_d31e241,mentioned_d31e643",entry_qūg,ira,"*gau-ka,*gava-ka",,
mentioned_d31e250,"mentioned_d31e250,mentioned_d31e652",entry_qūg,ira,*gāu,,
mentioned_d31e256,"mentioned_d31e256,mentioned_d31e658",entry_qūg,ine,*g˳ōu-,,
mentioned_d31e269,"mentioned_d31e269,mentioned_d31e671",entry_qūg,ira,*gauči-,,
mentioned_d31e278,"mentioned_d31e278,mentioned_d31e680",entry_qūg,x-balochi,gōk,"корова,крупный рогатый скот","cow,cattle"
mentioned_d31e290,"mentioned_d31e290,mentioned_d31e692",entry_qūg,fa,"gāv,gōg","корова,теленок","cow,calf"
mentioned_d31e302,"mentioned_d31e302,mentioned_d31e704",entry_qūg,ira,gavaka-,,
mentioned_d31e309,"mentioned_d31e309,mentioned_d31e711",entry_qūg,pal,"gāv,gō",корова,cow
mentioned_d31e319,"mentioned_d31e319,mentioned_d31e721",entry_qūg,ku,gā,крупный скот,cattle
mentioned_d31e327,"mentioned_d31e327,mentioned_d31e729",entry_qūg,x-balochi,gok,корова,cow
mentioned_d31e335,"mentioned_d31e335,mentioned_d31e737",entry_qūg,tly,gok,корова,cow
mentioned_d31e352,"mentioned_d31e352,mentioned_d31e754",entry_qūg,prc,gū,,
mentioned_d31e358,"mentioned_d31e358,mentioned_d31e760",entry_qūg,oru,gōī,,
mentioned_d31e363,"mentioned_d31e363,mentioned_d31e765",entry_qūg,ps,gwā,,
mentioned_d31e368,"mentioned_d31e368,mentioned_d31e770",entry_qūg,mnj,ɣōwa,,
mentioned_d31e373,"mentioned_d31e373,mentioned_d31e775",entry_qūg,ydg,ɣawo,,
mentioned_d31e378,"mentioned_d31e378,mentioned_d31e780",entry_qūg,wbl,"ɣīw,ɣū",,
mentioned_d31e385,"mentioned_d31e385,mentioned_d31e787",entry_qūg,srh,ɣau,,
