db_id,entry_id,num
sense_d7e72,entry_g0ybyn,
sense_d8e72,entry_razy_2,
sense_d12e69,entry_æx,
sense_d17e72,entry_byron,
sense_d21e72,entry_ærx,
sense_d29e71,entry_læʒæg,
sense_d32e69,entry_ivar,
sense_d32e94,re_d32e89,
sense_d34e72,entry_adli,
sense_d36e72,entry_7rdyston,
sense_d37e74,entry_razamynd,
sense_d42e76,entry_mīzyn,1
sense_d42e127,entry_mīzyn,2
sense_d43e72,entry_kʼ0ybyr,
sense_d50e72,entry_mūsong,
sense_d52e69,entry_barz,
sense_d61e72,entry_bynʒar,
sense_d61e100,re_d61e92,
sense_d63e72,entry_fæsʒæwīn,
sense_d72e74,entry_lædær,
sense_d74e72,entry_fænd,
sense_d74e115,re_d74e110,
sense_d74e158,re_d74e153,
sense_d79e72,entry_fændiag,
sense_d87e69,entry_æʒællag,
sense_d88e85,entry_ændīʒyn,
sense_d91e74,entry_rwajyn,
sense_d96e69,entry_ævdasarm,
sense_d98e71,entry_īnnæ,
sense_d99e75,entry_berinʒun,
sense_d102e69,entry_lopʼo,
sense_d102e125,re_d102e118,
sense_d103e72,entry_gærtam,
sense_d105e69,entry_ræstmæ,
sense_baryn.1,entry_baryn,1
sense_d108e71,entry_razængard,
sense_d108e96,re_d108e91,
sense_d121e72,entry_ræz_2,
sense_d122e72,entry_ægongæj,
sense_d129e69,entry_dæxī,
sense_d134e69,entry_mīnævar,
sense_d134e123,re_d134e116,
sense_d146e74,entry_pæskʼu,
sense_d148e72,entry_mængættæ,
sense_d152e72,entry_axær,
sense_d153e91,re_d153e86,
sense_d158e78,entry_ævzīdun,
sense_d160e72,entry_madta,
sense_d162e89,re_d162e84,
sense_d177e72,entry_aldymbyd,
sense_d181e74,entry_ædemonæj,
sense_d187e69,entry_arx,
sense_d190e78,entry_læxūryn,
sense_d191e69,entry_artæn,
sense_d194e69,entry_max,
sense_d194e103,re_d194e98,
sense_d196e76,entry_ǵīwyn,
sense_d199e76,entry_æxxæssyn,
sense_d203e72,entry_īwvazyg,
sense_d211e72,entry_bylyzdūx,
sense_d213e69,entry_cam,
sense_d216e84,re_d216e73,
sense_d218e72,entry_cʼass,
sense_d218e135,re_d218e130,
sense_d222e72,entry_ḱesena,
sense_d225e176,re_d225e171,
sense_d229e80,entry_7ǧzælyn,
sense_d229e114,re_d229e109,
sense_d232e72,entry_barqom,
sense_d234e69,entry_narst,
sense_d238e72,entry_irux,
sense_d239e72,entry_bal_2,
sense_d248e76,entry_nyxasyn,
sense_d249e72,entry_ḱʼīrī,
