db_id,entry_id,description_ru,description_en,lang,is_def,sense_group,num
sense_d1e72,entry_cʼūtxal,прыщик,pimple,,0,,
sense_d4e72,entry_gotʼosi,"инструмент для высасывания крови, делается из бычьего рога",blood sucking tool made from bull horn,,0,,
sense_d5e69,entry_ændon,сталь,steel,,0,,
sense_d7e73,entry_g0ybyn,живот,stomach,,0,sense_d7e72,
sense_d7e82,entry_g0ybyn,брюхо,belly,,0,sense_d7e72,
sense_d7e97,re_d7e92,болезнь живота,stomachache,,0,,
sense_d8e73,entry_razy_2,согласный,agreeable,,0,sense_d8e72,
sense_d8e82,entry_razy_2,довольный,pleased,,0,sense_d8e72,
sense_d8e100,re_d8e92,соглашаться,agree (imperfective),,0,,
sense_d8e124,re_d8e116,согласиться,agree (perfective),,0,,
sense_d12e70,entry_æx,изгиб стопы,foot curve,,0,sense_d12e69,
sense_d12e79,entry_æx,впадина между пяткой и пальцами,a hollow between heel and toes,,0,sense_d12e69,
sense_d12e94,re_d12e89,нога с сильным подъемом,a foot with a high instep,,0,,
sense_d13e72,entry_ʒykki,сыр,cheese,,0,,
sense_d15e72,entry_firton,крупный рогатый скот,bovine animals,,0,,
sense_d16e69,entry_inælar,генерал,general,,0,,
sense_d17e73,entry_byron,мусор,trash,,0,sense_d17e72,
sense_d17e82,entry_byron,помет,excrement,,0,sense_d17e72,
sense_d20e72,entry_k0yrd,кузнец,smith,,0,,
sense_d20e92,re_d20e84,златокузнец,goldsmith,,0,,
sense_d20e111,re_d20e103,медник,copper-smith,,0,,
sense_d20e130,re_d20e122,кузнец по железу,blacksmith,,0,,
sense_d21e73,entry_ærx,балка,beam,,0,sense_d21e72,
sense_d21e82,entry_ærx,лощина,hollow,,0,sense_d21e72,
sense_d21e91,entry_ærx,высохшее русло,dry wash,,0,sense_d21e72,
sense_d21e100,entry_ærx,размытые рекой или дождевыми потоками места,places that were degraded by river of by rain flows,,0,sense_d21e72,
sense_d23e72,entry_næwæʒ,девяносто,ninety,,0,,
sense_d29e72,entry_læʒæg,палка,stick,,0,sense_d29e71,
sense_d29e81,entry_læʒæg,посох,staff,,0,sense_d29e71,
